Term,Part Of Speech,Sentiment,Frequency
flirty,SYM,negative,1
regression,NN,negative,2
unique,JJ,positive,2
inhuman,JJ,negative,2
arrogance,NN,negative,2
monumental,JJ,positive,2
vigilant,NN,positive,2
wrongful,JJ,negative,2
cancer,NN,negative,2
defiant,JJ,negative,2
enfeeble,VB,negative,1
cooperate,VBP,positive,2
jeers,NNS,negative,2
calmness,NN,positive,2
dream,NN,positive,6
energize,VB,positive,1
effortlessly,RB,positive,2
efficient,JJ,positive,2
averse,IN,negative,1
doggedly,RB,negative,2
miracle,NN,positive,2
rumor,NN,negative,4
enrapture,VB,positive,1
nimble,JJ,positive,2
undermine,VBP,negative,2
dissenter,NN,negative,2
progress,NN,positive,4
recessionary,JJ,negative,2
disturb,VB,negative,2
mad,JJ,negative,2
partisans,NNS,negative,4
maneuver,NN,negative,4
extremism,NN,negative,2
partisan,JJ,negative,4
apt,JJ,positive,2
huckster,NN,negative,1
aggrieved,JJ,negative,2
profusion,NN,positive,2
scholarly,JJ,neutral,2
disillusion,NN,negative,4
reservations,NNS,negative,4
indiscreetly,RB,negative,2
difficulty,NN,negative,4
fear,NN,negative,2
tribute,NN,positive,2
boundless,JJ,positive,2
flawlessly,RB,positive,2
stand,VBP,positive,1
fiery,JJ,positive,1
somber,JJ,negative,2
uncompromising,JJ,negative,1
advantage,NN,positive,4
sharp,JJ,negative,2
anemic,JJ,negative,2
ecstasy,NN,positive,1
unassailable,JJ,positive,4
eradicate,VB,negative,2
deterioration,NN,negative,2
rumple,VB,negative,1
memories,NNS,neutral,4
discriminatory,JJ,negative,2
attractive,JJ,positive,4
untruthful,JJ,negative,2
inveigle,VB,negative,1
bright,JJ,positive,2
aggressiveness,NN,negative,2
unfulfilled,JJ,negative,2
catastrophe,NN,negative,4
delinquent,JJ,negative,2
meanness,NN,negative,2
rhetorical,NN,negative,2
improperly,RB,negative,2
totalitarian,JJ,negative,1
charismatic,JJ,positive,2
luminous,JJ,positive,2
modesty,NN,positive,2
dogged,JJ,negative,1
dynamic,JJ,positive,2
undoubtedly,RB,positive,2
concession,NN,negative,4
breathlessness,NN,positive,4
embarrass,VB,negative,2
destitute,JJ,negative,1
remorse,NN,negative,4
sullen,JJ,negative,2
reverence,NN,positive,2
fashionable,JJ,positive,1
leaky,JJ,negative,2
dazzle,VBP,positive,1
devotee,NN,positive,2
madman,NN,negative,2
fanatics,NNS,negative,2
heedless,JJ,negative,2
friendship,NN,positive,4
jaded,JJ,negative,1
blessing,NN,positive,4
coherence,NN,positive,4
reprehensible,JJ,negative,2
juvenile,JJ,negative,2
jeer,NN,negative,2
inadvisably,RB,negative,2
scandals,NNS,negative,2
effectively,RB,neutral,2
gutsy,JJ,positive,2
threat,NN,negative,4
deep,JJ,neutral,2
undocumented,JJ,negative,1
kooky,JJ,negative,2
flawed,JJ,negative,2
supporter,NN,positive,4
shortcoming,NN,negative,1
liar,NN,negative,4
affluent,JJ,positive,2
frenzy,NN,negative,2
dissembler,NN,negative,2
aversion,NN,negative,1
irredeemable,JJ,negative,2
hatred,NN,negative,2
unlimited,JJ,positive,2
gaily,RB,positive,2
tarnish,VB,negative,2
menial,JJ,negative,1
elated,JJ,positive,1
clique,NN,negative,1
destabilisation,NN,negative,4
familiar,JJ,neutral,4
reputable,JJ,positive,2
perversity,NN,negative,2
assuage,VB,positive,1
bitter,JJ,negative,2
racist,NN,negative,3
unilateralism,NN,negative,4
sprightly,JJ,positive,2
chaste,JJ,positive,2
isolate,VB,negative,1
retire,VB,negative,2
timely,JJ,positive,2
illusions,NNS,negative,4
allowable,JJ,positive,2
greatly,RB,neutral,2
favored,JJ,positive,1
constancy,NN,positive,2
commonsense,NN,positive,1
astronomical,JJ,neutral,2
languor,NN,negative,2
subversive,JJ,negative,2
imply,VB,neutral,2
cherish,VBP,positive,1
unipolar,NN,negative,2
conviction,NN,positive,4
posturing,NN,negative,2
vigilance,NN,positive,2
inapt,JJ,negative,2
malice,NN,negative,2
poverty,NN,negative,2
denunciations,NNS,negative,2
dissidence,NN,negative,2
impressive,JJ,positive,2
overcome,VBN,negative,2
dominate,VB,negative,2
ailment,NN,negative,2
phenomenal,JJ,positive,2
distaste,NN,negative,2
savages,NNS,negative,2
dreary,JJ,negative,2
bravery,NN,positive,4
undid,VBD,negative,2
painstakingly,RB,positive,2
sinking,NN,negative,2
repel,VB,negative,2
impair,VB,negative,1
kingmaker,NN,positive,2
applaud,VBP,positive,2
angel,NN,positive,1
gloss,VBP,negative,1
grouch,NN,negative,1
spilling,NN,negative,4
beauty,NN,positive,2
slanders,NNS,negative,2
abuses,NNS,negative,4
servitude,NN,negative,2
predicament,NN,negative,2
virtuous,JJ,positive,2
malady,NN,negative,1
demonic,JJ,negative,2
smart,JJ,positive,4
intimacy,NN,positive,4
patriotic,JJ,positive,2
split,VBD,negative,2
repent,VB,positive,1
famous,JJ,positive,3
redeeming,JJ,positive,1
commensurate,JJ,positive,2
defend,VBP,positive,2
funny,JJ,positive,4
unsavory,JJ,negative,2
uphold,VBP,positive,1
incoherence,NN,negative,2
prickle,VB,negative,1
illegally,RB,negative,2
nauseating,JJ,negative,1
perfidity,NN,negative,1
unfair,JJ,negative,2
disadvantaged,JJ,negative,2
affected,JJ,neutral,1
oppress,VB,negative,1
torturous,JJ,negative,2
peevish,JJ,negative,2
conspirator,NN,negative,4
delicacy,NN,positive,2
inertia,NN,negative,4
perspective,NN,neutral,4
inconsolable,JJ,negative,2
uniform,JJ,positive,1
bitchy,JJ,negative,2
greet,VB,positive,1
counterproductive,JJ,negative,2
obey,VB,positive,1
fanatical,JJ,negative,2
depress,VBP,negative,2
unreasonable,JJ,negative,4
bombard,VB,negative,1
unpopular,JJ,negative,2
exhilaration,NN,positive,2
hardship,NN,negative,2
protective,JJ,positive,2
repugnance,NN,negative,2
defect,NN,negative,2
unprecedent,JJ,negative,2
prohibit,VBP,negative,2
steeply,RB,negative,2
veritable,JJ,positive,2
glee,NN,positive,2
bellicose,NN,negative,2
gratuitous,JJ,negative,4
pro,NN,positive,1
pratfall,NN,negative,2
frustration,NN,negative,2
intriguing,JJ,positive,4
futile,JJ,negative,2
ignominy,NN,negative,1
bum,NN,negative,2
skeptical,JJ,negative,4
serenity,NN,positive,2
poor,JJ,negative,2
view,NN,neutral,3
fortitude,NN,positive,2
disable,VB,negative,1
chaos,NN,negative,2
embroilment,NN,negative,2
dictator,NN,negative,2
quit,VB,negative,1
immodest,JJS,negative,1
inspiration,NN,positive,2
opposition,NN,negative,4
skilled,JJ,positive,2
offensive,JJ,negative,3
sulk,VB,negative,1
susceptible,JJ,negative,2
subordinate,JJ,negative,2
steadfast,JJ,positive,2
deal,NN,positive,2
error,NN,negative,4
discouragement,NN,negative,2
incontestable,JJ,positive,2
implicit,JJ,neutral,2
enormity,NN,negative,2
abominable,JJ,negative,2
wickedness,NN,negative,2
narrower,JJR,negative,4
naive,JJ,negative,2
rattle,VBP,negative,1
smile,NN,positive,2
victory,NN,positive,4
impulsively,RB,negative,2
ravage,VB,negative,1
racists,NNS,negative,4
hate,VBP,negative,1
healthy,JJ,positive,4
handily,RB,positive,2
radical,JJ,negative,6
excel,VB,positive,2
hegemony,NN,negative,6
courageous,JJ,positive,2
rebellious,JJ,negative,2
blasphemous,JJ,negative,4
devilry,NN,negative,2
lethal,JJ,negative,2
pamper,VB,positive,1
prompt,JJ,positive,2
panic,NN,negative,4
proud,JJ,positive,2
lone,JJ,negative,4
cheer,VB,positive,2
hungry,JJ,negative,2
grandiose,JJ,negative,2
esteem,NN,positive,4
strides,NNS,positive,4
timidity,NN,negative,2
inclusive,JJ,positive,2
bashful,JJ,negative,1
wish,NN,positive,6
dissonance,NN,negative,2
excellence,NN,positive,2
resistant,JJ,negative,2
enjoin,VB,negative,2
indifferent,JJ,negative,2
pacifist,NN,positive,1
timidly,RB,negative,2
marvelousness,NN,positive,2
ugly,JJ,negative,2
intransigence,NN,negative,4
irregularity,NN,negative,2
vocal,NN,neutral,2
amity,NN,positive,2
challenge,NN,negative,4
violate,VBP,negative,2
leniently,RB,positive,2
excoriate,VB,negative,1
reinforce,VB,positive,2
polite,JJ,positive,2
delude,VB,negative,1
omit,VB,negative,2
wound,VBD,negative,3
stigmatize,VB,negative,1
provoke,VBP,negative,2
tentatively,RB,negative,2
unwarranted,JJ,negative,2
unrest,NN,negative,2
exterminate,VB,negative,1
readily,RB,positive,2
dogmatic,JJ,negative,2
jeopardize,VB,negative,2
demystify,VB,positive,1
infested,JJ,negative,2
entangle,VB,negative,1
fret,VBP,negative,1
effusive,JJ,positive,2
smugly,RB,negative,2
smooth,JJ,positive,2
please,VB,positive,3
advice,NN,positive,4
endure,VB,positive,2
exaltation,NN,positive,2
judicious,JJ,positive,2
cooperatively,RB,positive,2
intercede,VBP,positive,1
hysteria,NN,negative,2
bless,VB,positive,2
handsome,JJ,positive,2
extoll,VB,positive,1
protector,NN,positive,4
meticulous,JJ,positive,2
inequitable,JJ,negative,2
cohesive,JJ,positive,4
lifeless,JJ,negative,2
adversary,NN,negative,2
optimism,NN,positive,2
insubstantially,RB,negative,2
unworthy,JJ,negative,2
beseech,VBP,negative,1
callous,JJ,negative,2
abdicate,VB,negative,1
rigor,NN,negative,2
shrivel,VBP,negative,1
sensations,NNS,positive,4
clumsy,JJ,negative,2
proclaim,VBP,neutral,1
misfit,NN,negative,1
plebeian,JJ,negative,2
adequate,JJ,positive,2
perplex,VB,negative,1
hypocrisy,NN,negative,2
amuse,VB,positive,2
feeble,JJ,negative,2
greed,NN,negative,2
sympathetic,JJ,negative,4
unwillingly,RB,negative,2
noisy,JJ,negative,2
rights,NNS,positive,4
shark,NN,negative,2
wane,VB,negative,2
dilapidated,JJ,negative,2
inefficient,JJ,negative,2
revealing,JJ,neutral,1
guile,NN,negative,2
achievable,JJ,positive,2
rapprochement,NN,positive,4
wounds,NNS,negative,4
doubt,NN,negative,4
antagonism,NN,negative,2
smother,VBP,negative,1
mundane,JJ,negative,2
dexterous,JJ,positive,2
unethical,JJ,negative,2
disapprobation,NN,negative,2
empower,VB,positive,2
assertions,NNS,positive,4
forfeit,VB,negative,2
stupidity,NN,negative,2
unhappy,JJ,negative,2
annoying,JJ,negative,2
effortless,JJ,positive,2
ignominiously,RB,negative,2
imminent,JJ,negative,2
glaringly,RB,negative,2
headache,NN,negative,2
proficiently,RB,positive,2
din,NN,negative,1
prosperous,JJ,positive,2
thirst,NN,negative,4
persecution,NN,negative,4
recognizable,JJ,neutral,4
mend,VB,positive,2
lugubrious,JJ,negative,2
immovable,JJ,negative,2
dissonant,JJ,negative,2
indebted,JJ,positive,2
formidable,JJ,negative,2
politeness,NN,positive,2
objective,JJ,positive,1
unforgettable,JJ,positive,2
falsehood,NN,negative,2
gross,JJ,negative,2
entertain,VB,positive,2
steadiness,NN,positive,2
useful,JJ,positive,2
friggin,SYM,negative,1
inclination,NN,positive,4
luxuriant,JJ,positive,2
incompatibility,NN,negative,2
exhaustive,JJ,positive,2
immaculately,RB,positive,2
idle,JJ,negative,2
rusty,JJ,negative,2
nefarious,JJ,negative,2
fragile,JJ,negative,4
paramount,JJ,positive,2
rationalize,VB,negative,2
equivocal,JJ,negative,2
divergent,JJ,negative,2
argument,NN,negative,4
incite,VBP,negative,1
fever,NN,negative,2
conspiracies,NNS,negative,4
upscale,JJ,positive,1
disorderly,JJ,negative,2
viewpoints,NNS,neutral,4
sleepy,JJ,neutral,2
hilarious,JJ,positive,2
voluntary,JJ,positive,2
bumpy,JJ,negative,2
miscalculation,NN,negative,4
kindliness,NN,positive,2
irritant,NN,negative,2
flimsy,JJ,negative,2
unclear,JJ,negative,2
outrages,NNS,negative,1
overshadow,VB,negative,1
languorous,JJ,negative,2
nervousness,NN,negative,2
spookier,JJR,negative,2
triumphal,JJ,positive,2
assure,VB,positive,2
implicate,VB,negative,2
flagging,JJ,negative,2
contend,VBP,negative,2
accede,VBP,positive,1
gripe,NN,negative,2
incomparably,RB,negative,2
contention,NN,negative,2
knew,VBD,neutral,2
inadvisable,JJ,negative,2
unsteadily,RB,negative,2
debacle,NN,negative,2
mortified,JJ,negative,1
maximize,VB,positive,2
acclaim,NN,positive,4
petrify,VB,negative,1
exultingly,FW,positive,1
calumniation,NN,negative,2
escapade,NN,negative,2
beastly,JJ,negative,2
sneakily,RB,negative,2
shy,JJ,negative,2
forgive,VBP,positive,2
damaging,JJ,negative,1
hasty,JJ,negative,4
loyalty,NN,positive,4
elevated,JJ,positive,1
ineffectiveness,NN,negative,2
negation,NN,negative,2
unimaginable,JJ,negative,2
ironies,NNS,negative,4
supportive,JJ,positive,4
ingenuous,JJ,positive,2
illegal,JJ,negative,2
inanely,RB,negative,2
bonus,NN,positive,2
nightmarish,JJ,negative,2
lechery,NN,negative,2
empty,JJ,negative,2
homage,NN,positive,1
bonkers,NNS,negative,4
calumnies,NNS,negative,2
mislead,NN,negative,2
spurious,JJ,negative,2
squirm,VBP,negative,1
hole,NN,negative,2
obedient,JJ,positive,2
egomania,NN,negative,1
flash,NN,negative,2
secure,JJ,positive,1
passiveness,NN,negative,4
dissolute,JJ,negative,1
rectification,NN,positive,4
honesty,NN,positive,4
feckless,JJ,negative,2
insubordinate,JJ,negative,1
hell,NN,negative,3
dragon,NN,negative,2
crook,NN,negative,2
innumerably,RB,neutral,1
authoritarian,JJ,negative,2
despoiler,NN,negative,1
repression,NN,negative,4
surmount,VBP,positive,1
thoughtfully,RB,positive,2
eyebrows,NNS,neutral,4
miscalculate,VBP,negative,1
industrious,JJ,positive,2
idealist,NN,positive,2
glut,NN,negative,1
playfully,RB,positive,2
unexpected,JJ,negative,2
cooperation,NN,positive,4
repressive,JJ,negative,2
disrepute,NN,negative,2
providence,NN,positive,2
conceivable,JJ,positive,4
resistance,NN,negative,4
stereotype,NN,negative,2
affectation,NN,negative,2
durability,NN,positive,2
harridan,NN,negative,2
unyielding,JJ,negative,2
doomsday,NN,negative,4
disturbed,JJ,negative,3
rare,JJ,neutral,2
ineffectually,RB,negative,2
fretful,JJ,negative,2
restraint,NN,positive,4
repugnant,JJ,negative,2
stunned,JJ,positive,1
preaching,NN,positive,2
sarcasm,NN,negative,2
banish,VBP,negative,2
extremists,NNS,negative,4
loss,NN,negative,2
misread,VBD,negative,1
defeat,VB,negative,2
elegance,NN,positive,2
maniac,NN,negative,2
enliven,VB,positive,1
peaceable,JJ,positive,1
leech,NN,negative,6
mope,VB,negative,1
merciless,JJ,negative,2
friendly,JJ,positive,2
affably,RB,positive,2
analytical,JJ,neutral,2
moderate,JJ,positive,2
imaginative,JJ,positive,2
hug,NN,positive,4
puzzlement,NN,negative,2
addiction,NN,negative,2
dismalness,NN,negative,1
tenacity,NN,positive,2
unstable,JJ,negative,2
forsee,NN,neutral,1
blameworthy,JJ,negative,1
predatory,JJ,negative,2
effigy,NN,negative,1
abase,VB,negative,1
prohibitive,JJ,negative,2
inadequate,JJ,negative,2
grieve,VB,negative,1
growl,VBP,negative,1
disruptive,JJ,negative,2
obvious,JJ,neutral,6
vocally,RB,negative,2
reestablish,VBP,positive,1
solid,JJ,positive,4
endless,JJ,negative,2
prospect,NN,positive,4
urgent,JJ,negative,4
semblance,NN,positive,2
deadly,JJ,negative,2
adulate,VB,positive,1
blameless,JJ,positive,2
block,NN,negative,4
sickening,JJ,negative,2
minor,JJ,neutral,2
sore,JJ,negative,4
dishonesty,NN,negative,2
scream,VB,negative,1
mysterious,JJ,negative,2
calm,JJ,positive,2
stigma,NN,negative,4
maladjustment,NN,negative,1
sleek,JJ,positive,2
hope,VBP,positive,3
demolish,VB,negative,1
justify,VB,positive,2
simplicity,NN,positive,2
obscene,JJ,negative,2
astonishment,NN,positive,2
congenial,JJ,positive,2
disconsolately,RB,negative,2
polished,JJ,positive,1
superficial,JJ,negative,4
decide,VB,neutral,2
adverse,JJ,negative,2
rattle,VB,negative,1
well,RB,positive,19
drones,NNS,negative,4
unbound,JJ,positive,2
against,IN,negative,2
inept,JJ,negative,2
consume,VBP,negative,2
guidance,NN,positive,4
frazzle,NN,negative,2
upbraid,VB,negative,1
epitome,NN,positive,1
corrosive,JJ,negative,2
forswear,VB,negative,1
impel,VB,positive,1
embellish,VB,positive,2
war,NN,negative,6
farce,NN,negative,2
unsuspecting,JJ,negative,2
nascent,JJ,neutral,1
sucker,NN,negative,2
scrutiny,NN,neutral,4
clog,VBP,negative,1
outbreak,NN,negative,2
objections,NNS,negative,4
lousy,JJ,negative,2
travesty,NN,negative,4
irresistible,JJ,positive,2
approve,VBP,positive,2
impending,JJ,negative,2
ingratiate,VB,positive,1
heartless,JJ,negative,2
want,VBP,positive,2
scant,JJ,negative,2
gaffe,NN,negative,2
prevalent,JJ,neutral,2
could,MD,neutral,2
confusing,JJ,negative,2
qualify,VB,positive,4
dishonest,JJS,negative,2
combative,JJ,negative,2
hatefulness,NN,negative,2
flaw,NN,negative,4
gloat,VBP,both,2
untested,JJ,negative,2
better,JJR,positive,5
solicitude,NN,positive,2
wicked,JJ,negative,2
malevolence,NN,negative,2
loath,JJ,negative,2
notion,NN,neutral,4
discontinuity,NN,negative,4
patience,NN,positive,2
shyly,RB,negative,2
harmful,JJ,negative,2
sober,JJ,negative,4
regress,VBZ,negative,1
degradation,NN,negative,2
fibber,NN,negative,1
ramshackle,JJ,negative,2
fusty,JJ,negative,2
break,VB,negative,1
satirical,JJ,negative,2
accommodative,JJ,positive,2
drastic,JJ,negative,2
freak,NN,negative,4
uneven,JJ,negative,2
rarely,RB,neutral,2
misjudge,VBP,negative,1
enmity,NN,negative,2
audacious,JJ,negative,2
tiring,NN,negative,2
obstruct,VB,negative,2
withheld,VBN,negative,2
injudicious,JJ,negative,2
disrespectablity,NN,negative,2
harmony,NN,positive,4
rhetoric,NN,negative,4
endear,VB,positive,1
respite,NN,positive,2
unabashed,JJ,positive,2
desire,NN,positive,6
demeaning,JJ,negative,2
whatever,WDT,negative,2
dare,VBP,positive,2
dispiritedly,RB,negative,2
beg,VBP,negative,2
spirited,JJ,positive,1
justice,NN,positive,4
fabrication,NN,negative,2
resolute,JJ,positive,1
aggravating,JJ,negative,1
tenderly,RB,positive,2
helplessly,RB,negative,2
hysterics,NNS,negative,2
foe,NN,negative,2
hilarity,NN,positive,2
avoidance,NN,negative,2
power,NN,neutral,4
conscience,NN,positive,4
eulogize,VB,positive,1
proper,JJ,positive,2
lecture,NN,negative,2
strident,JJ,negative,2
provocation,NN,negative,4
fumble,VB,negative,1
stooges,NNS,negative,4
worse,JJR,negative,2
respectable,JJ,positive,2
amenable,JJ,positive,2
reunite,VB,positive,2
lunatic,JJ,negative,2
resent,VBP,negative,2
intend,VBP,neutral,2
loyal,JJ,positive,2
sense,NN,positive,6
ingenuously,RB,positive,2
expire,VB,negative,2
ghastly,JJ,negative,2
insist,VBP,positive,2
clout,NN,positive,4
assurance,NN,positive,4
collude,VB,negative,1
bewail,VB,negative,1
victimize,VB,negative,1
readiness,NN,neutral,4
thoughtlessness,NN,negative,2
uncomfortable,JJ,negative,2
repress,VB,negative,1
fissures,NNS,negative,4
archaic,JJ,negative,2
adamant,JJ,negative,2
idolize,VBP,positive,1
meaningless,JJ,negative,2
despondent,JJ,negative,1
enraged,JJ,negative,1
immediate,JJ,neutral,2
sustainable,JJ,positive,4
pathetic,JJ,negative,2
dubiously,RB,negative,2
blame,VBP,negative,3
terrific,JJ,positive,4
busy,JJ,negative,2
delinquency,NN,negative,2
relations,NNS,neutral,4
versatile,JJ,positive,1
tidy,JJ,positive,2
thoughtful,JJ,positive,2
overbalanced,JJ,negative,1
pinch,NN,negative,2
depression,NN,negative,4
bargain,NN,positive,4
simplify,VB,positive,2
pandemonium,NN,negative,2
embrace,VBP,positive,1
inelegance,NN,negative,2
gaga,SYM,negative,1
assuage,VBP,positive,1
careful,JJ,positive,2
polluter,NN,negative,4
explode,VB,negative,1
isolate,VBP,negative,1
immune,JJ,neutral,2
oppressiveness,NN,negative,1
wrong,JJ,negative,4
disrupt,VB,negative,1
tumultuous,JJ,negative,2
cranky,JJ,negative,2
wealthy,JJ,positive,2
gifted,JJ,positive,2
knave,NN,negative,1
disinterest,NN,negative,2
pundits,NNS,positive,4
selfishness,NN,negative,2
rehabilitation,NN,positive,2
outcast,NN,negative,1
salutary,JJ,positive,2
amazement,NN,positive,2
accomplish,VB,positive,2
glory,NN,positive,4
excessive,JJ,negative,2
uproarous,JJ,negative,1
criticize,VB,negative,2
absolute,JJ,neutral,2
explosive,JJ,negative,2
ruthlessness,NN,negative,2
bothersome,JJ,negative,2
prudently,RB,positive,2
conquer,VB,positive,2
speedy,JJ,positive,2
evil,JJ,negative,2
outstrip,VB,positive,1
dissatisfaction,NN,negative,4
startle,VB,negative,1
goddam,SYM,negative,1
legendary,JJ,positive,2
indomitable,JJ,positive,2
enterprising,JJ,positive,2
waste,NN,negative,4
leer,NN,negative,2
salvation,NN,positive,2
indisposed,JJ,negative,1
spiritless,JJ,negative,2
invalidate,VBP,negative,1
mire,NN,negative,4
feint,NN,negative,2
crowded,JJ,negative,1
wearisome,JJ,negative,2
breakthroughs,NNS,positive,4
placate,VB,positive,1
verifiable,JJ,positive,2
false,JJ,negative,4
torture,VBP,negative,4
honeymoon,NN,positive,2
impair,VBP,negative,1
manipulators,NNS,negative,4
adaptable,JJ,positive,2
downer,NN,negative,1
bewildered,JJ,negative,1
happiness,NN,positive,2
unforeseen,JJ,negative,2
fearful,JJ,negative,2
utter,JJ,negative,2
mistake,NN,negative,4
regard,NN,positive,4
instructive,JJ,positive,2
rocky,JJ,negative,2
syndrome,NN,negative,4
boredom,NN,negative,2
brightness,NN,positive,2
credulous,JJ,negative,2
irretrievable,JJ,negative,2
importunate,JJ,negative,2
disallow,VB,negative,1
hoodwink,VB,negative,1
graciousness,NN,positive,2
active,JJ,positive,2
anomalous,JJ,negative,2
dishonorablely,RB,negative,1
thrash,VBP,negative,2
ragged,JJ,negative,2
impeach,VB,negative,1
destinies,NNS,positive,4
basic,JJ,positive,2
laughter,NN,negative,2
ache,VBP,negative,1
chastise,VB,negative,1
extinguish,VB,negative,2
denounce,VBP,negative,2
lecher,NN,negative,2
ought,MD,neutral,2
disrespecting,NN,negative,2
edgy,JJ,negative,2
rack,VB,negative,1
sufficient,JJ,positive,3
clearer,JJR,positive,4
defamations,NNS,negative,2
spade,NN,negative,2
rage,NN,negative,4
beautiful,JJ,positive,4
satisfactorily,RB,positive,2
move,VB,neutral,1
deft,JJ,positive,1
lucrative,JJ,positive,4
mentor,NN,positive,2
advocacy,NN,positive,2
unfaithful,JJ,negative,2
faithful,NN,positive,4
importance,NN,positive,2
bereavement,NN,negative,2
refute,VB,negative,2
covet,VBP,both,1
incongruous,JJ,negative,2
congratulations,NNS,positive,4
flattering,JJ,positive,2
restriction,NN,negative,2
tact,NN,positive,2
lucky,JJ,positive,4
shadowy,JJ,negative,1
hegemonism,NN,negative,4
unscathed,JJ,positive,2
grumble,VB,negative,2
blaspheme,VB,negative,1
abrupt,JJ,negative,2
orthodoxy,NN,neutral,2
decisive,JJ,positive,2
abyss,NN,negative,1
virus,NN,negative,4
sweeping,JJ,positive,1
topple,VBP,negative,2
besiege,VB,negative,1
outdo,VB,positive,1
innumerable,JJ,neutral,2
infectious,JJ,neutral,2
wretch,NN,negative,2
little,JJ,negative,1
unsupported,JJ,negative,2
helplessness,NN,negative,2
impurity,NN,negative,2
handy,JJ,positive,2
moderation,NN,positive,4
scarce,JJ,negative,2
restlessness,NN,negative,2
shake,VB,negative,1
covert,JJ,neutral,2
jaunty,JJ,positive,1
siege,NN,negative,1
perfection,NN,positive,2
particularly,RB,neutral,2
nightmare,NN,negative,2
immaculate,JJ,positive,1
slaves,NNS,negative,2
shrewd,JJ,positive,2
tyranny,NN,negative,2
indefinite,JJ,negative,2
brave,VBP,positive,4
hardier,JJR,positive,4
natural,JJ,positive,1
guardian,NN,positive,2
polarisation,NN,negative,4
distinct,JJ,positive,2
seasoned,JJ,positive,2
dignified,JJ,positive,2
unpredictable,JJ,negative,2
repentance,NN,positive,2
impede,VB,negative,1
violent,JJ,negative,3
mild,JJ,positive,2
villains,NNS,negative,4
aristocratic,JJ,positive,2
defy,VB,negative,2
avoid,VB,negative,2
interrupt,VB,negative,1
uprising,NN,negative,2
needful,NN,neutral,1
bloodshed,NN,negative,1
empowerment,NN,positive,2
tantalize,VB,positive,1
denunciation,NN,negative,2
civil,JJ,positive,2
faint,JJ,negative,2
allergic,JJ,negative,2
expunge,VB,negative,1
divisiveness,NN,negative,2
comedy,NN,negative,4
enduring,JJ,positive,1
inarguably,RB,neutral,2
finagle,VB,negative,1
skepticism,NN,negative,4
pride,NN,positive,2
inestimably,RB,positive,2
undoubted,JJ,positive,2
congested,JJ,negative,1
personality,NN,positive,4
nightmarishly,RB,negative,2
immoral,JJ,negative,2
overplay,VB,negative,1
loathsome,JJ,negative,2
leery,JJ,negative,2
repudiate,VB,negative,1
spiteful,JJ,negative,2
severe,JJ,negative,4
great,JJ,positive,2
impolitely,RB,negative,2
imperial,JJ,positive,2
inconsequential,JJ,negative,2
hobble,VB,negative,1
pretense,NN,negative,4
humankind,NN,positive,1
unconventional,JJ,positive,2
pledges,NNS,positive,2
ungrateful,JJ,negative,2
woo,VBP,positive,2
truthful,JJ,positive,2
iniquitous,JJ,negative,2
upliftment,NN,positive,2
rigid,JJ,negative,2
individuality,NN,positive,2
luxury,NN,positive,4
undefined,JJ,negative,2
thumbs,NNS,negative,4
economical,JJ,positive,2
indecent,JJ,negative,2
enthusiastic,JJ,positive,2
auspicious,JJ,positive,2
arguments,NNS,negative,4
distraughtness,NN,negative,2
anarchy,NN,negative,2
perturb,VB,negative,1
decadent,JJ,negative,2
reconcile,VBP,positive,2
frustrating,JJ,negative,2
vomit,VB,negative,2
entrenchment,NN,neutral,4
outrageous,JJ,negative,4
embodiment,NN,neutral,2
fearless,JJ,positive,2
sneaky,JJ,negative,2
severity,NN,negative,2
disorder,NN,negative,4
thank,VB,positive,1
rehabilitate,VBP,positive,1
white,JJ,positive,4
versatility,NN,positive,2
easygoing,JJ,positive,2
strike,VB,negative,1
enjoyable,JJ,positive,2
frighten,VB,negative,1
fondness,NN,positive,2
mercilessly,RB,negative,2
inexpensive,JJ,positive,2
disreputable,JJ,negative,2
compulsion,NN,negative,2
chide,VB,negative,1
inaccuracy,NN,negative,2
fervid,JJ,positive,2
inelegant,JJ,negative,2
feelings,NNS,neutral,4
acrimony,NN,negative,2
subside,VBP,negative,1
pitiful,JJ,negative,2
nonviolent,JJ,neutral,2
revile,VBP,negative,1
dumbfounded,JJ,negative,2
abjectly,RB,negative,2
despotism,NN,negative,4
mediocrity,NN,negative,2
amusement,NN,positive,4
instrumental,JJ,positive,2
welfare,NN,positive,4
preference,NN,positive,2
usable,JJ,positive,2
stately,JJ,positive,2
degeneration,NN,negative,2
chore,NN,negative,2
wrestle,VBP,negative,2
melancholy,JJ,negative,2
impotent,NN,negative,2
moan,VB,negative,2
flaky,JJ,negative,2
mess,NN,negative,4
agitate,VB,negative,1
propitious,JJ,positive,2
lambast,VB,negative,1
disconcert,VB,negative,1
faulty,JJ,negative,2
lies,NNS,negative,2
ultimatums,NNS,negative,4
unanimous,JJ,positive,2
disloyal,JJ,negative,4
purposeful,JJ,positive,2
horde,NN,negative,2
avid,JJ,positive,2
mishap,NN,negative,2
inordinate,JJ,negative,2
glower,VB,negative,1
murderously,RB,negative,2
ideal,NN,positive,2
amusing,JJ,positive,4
disintegrate,VBP,negative,1
inappropriately,RB,negative,2
obscure,JJ,negative,4
entertaining,JJ,positive,2
deference,NN,positive,2
damage,NN,negative,4
condolence,NN,negative,2
vanity,NN,negative,2
distinguish,VBP,positive,1
discomfit,VB,negative,2
jerk,SYM,negative,1
